name,price,price_old,sale,url
Диван Риббл-10 Bucle Silver,83 990,0,нет скидки,https://www.divan.ru/product/divan-ribbl-10-bucle-silver
Диван угловой Вайвел Barhat Night,89 990,105 990,-15%,https://www.divan.ru/product/divan-uglovoj-vajvel-barhat-night
Диван Лесли Velvet Red,46 990,66 990,-29%,https://www.divan.ru/product/divan-lesli-velvet-red
Модульный диван Brera-3 Velour Cinnamon,114 970,0,нет скидки,https://www.divan.ru/product/modulnyj-divan-brera-3-velour-cinnamon
Диван Кинси-2 Land Navy Blue,48 990,54 990,-10%,https://www.divan.ru/product/divan-kinsi-2-land-navy-blue
Диван Льери Мини Velvet Atlantic,59 990,92 990,-35%,https://www.divan.ru/product/divan-leri-mini-velvet-atlantic
Модульный диван Полан-2 Velvet Ocean,93 960,104 960,-10%,https://www.divan.ru/product/modulnyj-divan-polan-2-velvet-ocean
Диван Эби Soft Grafit,89 990,139 990,-35%,https://www.divan.ru/product/divan-abi-soft-grafit
Диван Ниса Land Light,44 990,47 990,-6%,https://www.divan.ru/product/divan-nisa-land-light
Диван угловой Биани-1 Barhat Smoke,79 990,106 990,-25%,https://www.divan.ru/product/divan-uglovoj-biani-1-barhat-smoke
Диван Пайпел-3 Bucle Blue,54 990,68 990,-20%,https://www.divan.ru/product/divan-pajpel-3-bucle-blue
Диван Маре Мини Velvet Beige,26 990,44 990,-40%,https://www.divan.ru/product/divan-mare-mini-velvet-beige
Модульный диван Полан-5 Velvet Caramel,129 950,143 950,-9%,https://www.divan.ru/product/modulnyj-divan-polan-5-velvet-caramel
Диван Динс Мини Velvet Yellow,46 990,66 990,-29%,https://www.divan.ru/product/divan-dins-mini-velvet-yellow
Диван Сторм Land Forest,54 990,59 990,-8%,https://www.divan.ru/product/divan-storm-land-forest
Модульный диван Brera-1 Velour Caramel,210 950,0,нет скидки,https://www.divan.ru/product/modulnyj-divan-brera-1-velour-caramel
Модульный диван Этен 5 Vertical Mint,77 960,103 960,-25%,https://www.divan.ru/product/modulnyj-divan-eten-5-vertical-mint
Диван Марей Soft Olive,89 990,112 990,-20%,https://www.divan.ru/product/divan-marej-soft-olive
Модульный диван Этен 4 Vertical Mix,203 920,269 920,-24%,https://www.divan.ru/product/modulnyj-divan-eten-4-vertical-mix
Диван Лофт Linia Ginger,39 990,61 990,-35%,https://www.divan.ru/product/divan-loft-linia-ginger
Диван угловой Лаберт Barhat Beige,99 990,142 990,-30%,https://www.divan.ru/product/divan-uglovoj-labert-barhat-beige
Диван Боско-3 Land Grey,49 990,52 990,-5%,https://www.divan.ru/product/divan-bosko-3-land-grey
Модульный диван Этен 1 Vertical Milk,115 950,150 950,-23%,https://www.divan.ru/product/modulnyj-divan-eten-1-vertical-milk
Диван угловой Бруквиль Velvet Terra,56 990,75 990,-25%,https://www.divan.ru/product/divan-uglovoj-brukvil-velvet-terra
Диван угловой Дарол Velvet Beige,59 990,85 990,-30%,https://www.divan.ru/product/divan-uglovoj-darol-velvet-beige
Диван Эби Happy Yellow,72 990,99 990,-27%,https://www.divan.ru/product/divan-abi-happy-yellow
Диван угловой Харинг Soft Grey,89 990,119 990,-25%,https://www.divan.ru/product/divan-uglovoj-haring-soft-grey
Диван угловой Эдвин Velvet Grey,79 990,91 990,-13%,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-grey
Диван угловой Амрано Velvet Emerald,40 990,63 990,-35%,https://www.divan.ru/product/divan-uglovoj-amrano-velvet-emerald-new
Диван Бруквиль Velvet Terra,46 990,72 990,-35%,https://www.divan.ru/product/divan-brukvil-velvet-terra
Диван Риард-3 Land Forest,46 990,49 990,-6%,https://www.divan.ru/product/divan-riard-3-land-forest
Диван Виенсо Bucle Sand,76 990,90 990,-15%,https://www.divan.ru/product/divan-vienso-bucle-sand
Диван Бруквиль Velvet Grey,46 990,72 990,-35%,https://www.divan.ru/product/divan-brukvil-velvet-grey
Диван Динс Мини Velvet Lime,46 990,67 990,-30%,https://www.divan.ru/product/divan-dins-mini-velvet-lime
Диван Клаймар Velvet Blue,59 990,75 990,-21%,https://www.divan.ru/product/divan-klajmar-velvet-blue
Диван Ольен Мини Velvet Mint,52 990,81 990,-35%,https://www.divan.ru/product/divan-olen-mini-velvet-mint
Диван Пайпел Bucle Grafit,49 990,62 990,-20%,https://www.divan.ru/product/divan-pajpel-bucle-grafit
Диван Дара Velvet Yellow,39 990,61 990,-35%,https://www.divan.ru/product/divan-dara-velvet-yellow
Диван Байма Velvet Olive,69 990,93 990,-25%,https://www.divan.ru/product/divan-bajma-velvet-olive
Диван Риббл-11 Bucle Silver,83 990,0,нет скидки,https://www.divan.ru/product/divan-ribbl-11-bucle-silver
